Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.0840952695,58.1060952014,58.2364111093,61.2845990844,66.8433423758,70.249186246,77.5114721011,85.8401398343,99.1276831829,95.1532155944,101.0148683139,114.4231437527,113.0702163625,109.5152551693,109.0067627202,100,101.2859959837,105.3199688692,110.1207342916,111.1737021708,115.1866245669,124.7171028225,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,113.4207419314,100.4336340767,84.849104651,87.4465262219,72.7278039866,54.5458529899,58.8748889415,50.2168170383,82.25168308,78.7884543188,88.3123334123,95.2387909348,106.4942844089,102.1652484573,101.299441267,107.3600915992,99.5678268864,99.5678268864,90.9097549832,90.9097549832,86.5807190316,85.4362488967,85.5192539705,85.1533723714,85.2662315941,84.8697662218,85.3898569301,87.586270273,90.5319451238,90.2784782507,91.8729501576,102.7090802221,105.1615758859,102.8214782726,103.8763478829,100,99.9485568537,99.1555354764,100.7286019456,100.4128034483,98.9323899503,101.9564329926,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.5486186474,58.631606503,63.5562325114,59.3933208454,58.5727441093,58.2795977327,57.2242124974,54.5272075531,..,..,..,..,..,..,..,..,..,..,..,..,58.2795977327,51.6767349266,53.8098468753,55.9109827901,58.5420907893,56.8879363161,65.4917316377,73.3962477365,92.7823713779,94.3371465019,126.2933948726,152.3385596295,137.8506856996,124.0581074771,109.8185552785,100,97.0857449171,101.7768256948,104.2026729216,110.8200989075,125.150691822,154.0086827824,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.2126164161,61.3518693917,54.4349869469,47.3596214907,46.2049595516,46.2049595516,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.2049595516,40.0134949716,40.0535084666,46.9827654313,62.2991469773,90.9567545508,108.7842784794,122.8174503903,168.873994252,105.546246419,137.2101203586,176.3150046423,190.5965200325,188.499958303,167.1961210737,100,82.0920283853,101.0216367055,133.133511484,120.7880632792,76.4192008921,128.9601359323,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Lithuania,LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.0548522621,55.4581096288,58.2811877539,70.2793141728,78.983676662,83.0556519532,90.4455388578,105.5895761537,123.9865636573,101.382428557,108.2687479053,129.0255673889,125.4897495581,128.2872829038,125.3301938082,100,95.3505978537,103.1710413131,113.766668916,108.0912049044,105.2852699185,122.046794179,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Luxembourg,LUX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.1328087827,85.4260957424,91.068344928,103.3954850259,110.5181355509,111.4878421285,113.6133579034,123.7281328218,129.2937470892,112.3537064881,112.3367224096,123.7697052552,116.0907372065,118.636032412,116.5002795557,100,95.7795771915,101.1955162593,108.1984657005,103.8242081316,104.6012415753,119.1333468685,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97.5725044913,96.4997694084,96.1028048652,96.4131176577,97.6530324453,98.132261655,100.2975782829,103.5123754998,107.5789731678,110.9632387988,107.4402158946,114.5437165893,112.2791985815,107.633935662,107.5767088027,100,98.6983042442,99.4087502372,104.4377719639,102.4834167503,101.757559473,104.2825817246,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Madagascar,MDG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3893405237,41.8580438154,43.3267471072,46.2641536908,46.2641536908,41.1236921696,47.7328569825,49.2015602743,49.2015602743,40.3893405237,49.9359119202,45.5298020449,46.9985053366,46.2641536908,53.6076701496,60.2168349626,61.6855382543,60.9511866085,66.0916481297,64.6229448379,73.4351645885,63.6384286592,60.7633852883,64.8843194688,66.6011608867,68.0175369018,71.421880157,76.8602950035,83.3387049076,80.3866408855,89.2187672202,108.1423994025,106.8667119958,103.2042266449,109.8075827364,100,93.4236559323,87.0940726702,80.7427984229,77.7436120103,77.166776516,101.5558434408,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.1053080075,74.1831927033,68.7551542128,63.9302311101,64.533346498,49.4554618022,50.6616925778,55.4866156805,58.5021926197,63.3271157223,75.9925388668,82.6268081329,69.3582696006,58.5021926197,55.4866156805,67.5489234371,71.1676157641,74.1831927033,60.3115387832,62.7240003345,60.3115387832,59.4534533254,54.7842811409,55.1022670949,57.2147467722,60.3719332503,66.0902365816,73.1872159732,81.5162875475,91.8400934262,96.0482067428,110.1098542533,103.2564430713,100.0758129311,102.9312810092,100,101.0464953636,101.1670282151,101.8135875725,96.7249600467,95.3177835273,103.8352079166,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Malaysia,MYS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.9291516125,51.0529301932,49.6148194835,51.771985548,58.9625390963,52.4910409028,43.8623766448,55.3672623222,63.2768712253,70.4674247737,81.2532550962,85.5675872252,86.28664258,81.972310451,85.5675872252,91.3200300638,93.4771961283,85.5675872252,76.9389229672,74.0627015478,71.9055354833,69.1048498583,67.0814349136,69.0855861568,72.6795864927,76.8785075767,80.7993206998,91.0473864202,108.7488573087,98.5492897867,113.2553643156,132.7203421188,132.7386486929,127.8946686586,124.5471806607,100,92.2798315511,95.4636699565,103.3870155494,101.523883731,97.5837407462,109.0693908299,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.912968513,60.9505430942,61.2060297572,61.1132631357,64.2703659591,72.490477917,79.0056909131,81.9560756649,86.6932824946,84.3790326915,93.7053795674,100.398256532,99.1589991247,100.4608836666,103.7912059556,100,98.8790167319,108.0349845668,118.8550131978,117.8318436903,112.1533941839,127.9097429278,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mali,MLI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.5054795736,46.3131379117,43.2255953842,42.8396525683,40.9099384886,39.7521100408,43.2255953842,52.8741657825,54.0319942303,50.9444517028,59.8211364692,56.3476511259,52.4882229666,49.0147376232,43.9974810161,52.8741657825,51.7163373347,43.9974810161,43.9974810161,39.3661672249,38.5942815931,35.8614469621,38.0750866283,48.9925110992,50.5449908152,50.0479805653,59.8293507603,67.2525305757,81.9409575047,84.682798586,108.7224234229,139.6871957328,134.3283777653,121.2697346668,111.3167554231,100,106.2778001461,110.0217559902,112.6755234543,119.2500788138,147.273746493,153.9202506244,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Malta,MLT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78.1091631841,73.1562204986,79.8170226147,91.3276209233,95.0712006537,74.661996902,81.9286151875,93.184143962,106.5231486663,107.9261891966,112.5343066087,133.368030413,114.0262077941,118.8266063771,116.1551087326,100,98.7649805593,102.8315284791,114.6412621529,108.5502333733,114.4382929929,121.9071860011,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.3157313594,63.1743512367,62.9421657314,64.040275138,65.7675433967,62.0155352005,68.4021141074,76.9800651189,95.8226137704,102.3463925003,114.7503013423,120.7127736368,125.015371933,101.1983243502,101.5150302717,100,93.8940938796,94.4024552414,93.1029843133,87.0284882301,88.9282709253,104.0769757168,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mauritania,MRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.1137908729,49.4932752604,48.0655846279,44.7343064854,43.7825127304,49.0173783829,52.8245534029,57.1076253005,58.0594190555,64.7219753405,69.0050472381,72.8122222581,79.9506754207,84.7096441957,62.342490953,66.149665973,64.246078463,66.6255628506,59.0112128105,52.3486565254,47.5896877504,46.3614500441,44.8642829504,46.2691277155,50.3137787752,68.3955328895,79.1030805243,85.7948608276,118.8329474843,98.4658447638,135.4440258661,156.7508985215,139.732614741,141.5264315441,124.6329688996,100,101.5209079804,112.3257307454,114.1611478837,128.4934933873,142.478319717,184.3270950142,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mauritius,MUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.9912585926,60.8019512763,51.8843317558,51.0736390721,49.4522537047,46.20948297,54.3164098069,64.8554146947,69.7195707969,68.0981854295,71.3409561642,78.6371903174,77.01580495,77.8264976337,73.7730342153,81.0692683684,86.7441171542,85.9334244705,78.6371903174,77.01580495,81.0692683684,77.4919203043,83.5370874278,94.0354252144,102.3547344831,100.856626369,99.8642728581,106.4619668505,113.8389958526,100.8860419477,101.4185052266,112.92454926,115.3015687931,117.8552796074,113.1864683386,100,99.8186751238,103.5970871338,104.4186838773,102.1808400106,105.9896975034,109.8010453629,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mexico,MEX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127.3426895766,139.257795034,116.9169723013,105.0018668438,102.7677845706,89.3632909309,61.0649154695,70.0012445626,62.5543036516,62.5543036516,70.7459386536,67.7671622893,70.0012445626,70.0012445626,70.0012445626,72.9800209269,73.724715018,73.724715018,70.0012445626,70.7459386536,74.4694091091,72.834202012,74.5774655622,78.2746124219,87.4506997245,94.657052241,101.7985865093,106.9719555086,117.4902340891,100.4104104457,112.6856067733,129.0993569575,125.708173846,125.357088487,119.78947434,100,93.1193077948,99.791342003,105.7912603786,106.6976946538,101.1558194431,112.7075789725,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.3454298049,65.14961426,64.4127363125,63.852595421,64.8019958532,68.7747042188,75.9799708092,78.3482489486,87.2015728283,86.6504038229,90.6089162635,99.6137652052,97.6470814674,98.1851296974,101.9812428095,100,104.6230716869,109.7327484504,114.6514462359,115.2106749402,109.5033614983,121.506700579,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Moldova,MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105.4016122432,101.7125558147,99.932586088,103.1803951411,110.1450718289,111.5218852373,116.261565332,127.3064140343,140.3553214557,123.1617945518,126.8566483852,137.3223219739,132.5160407085,129.2031396566,120.4819276778,100,96.15,100.5729000075,106.4312714233,102.3868831086,110.2450763516,120.7734811855,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mongolia,MNG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.0926764226,35.6627720814,37.1535833391,40.5663248559,51.3106011556,59.7304135139,89.2535524805,100.0803276775,123.9268768879,103.8752877482,138.207852828,165.6971655534,153.2986580015,139.8490669248,126.2501695168,100,96.0360275943,124.6644109742,137.1228819163,132.6874521347,128.9011593614,180.3534336206,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Morocco,MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63.9010261869,57.5109235682,52.2826577893,47.0543920103,45.8925551706,45.3116367507,50.5399025296,54.0254130489,58.0918419881,57.5109235682,62.1582709272,59.8345972477,60.4155156676,56.3490867284,56.9300051483,66.2246998664,69.1292919658,63.320107767,62.7391893471,62.1582709272,58.0918419881,54.8368147382,57.5786554783,67.1942909336,73.9157358836,74.4331460362,78.2292364558,86.8344524625,119.7811804048,97.9810056001,105.0356379944,122.4715538991,117.8176348423,116.3578957172,114.6683790747,100,97.0452812634,99.5243344126,105.014977108,100.9221803398,102.9180062609,114.2755904461,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,119.9466565464,132.4266554934,113.013323798,109.5466574239,96.373325202,97.0666584768,110.2399906987,121.333323096,119.2533232715,115.7866568974,116.4799901722,123.4133229205,97.0666584768,90.8266590033,92.213325553,98.4533250265,79.0399933311,81.1199931556,77.6533267815,78.3466600563,69.3333274834,65.001341593,61.4313873363,66.5606300806,78.1588273361,88.3751936048,109.3016012739,114.111381636,129.2636205603,99.601500183,120.9182237711,137.8459454148,126.8654882986,120.4489385787,119.0473241102,100,96.0075487742,118.0505108184,130.9984849046,118.0362604622,107.6662178438,178.7115561588,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Myanmar,MMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.3918180024,69.2784006587,67.2990177828,67.2990177828,91.7114065863,75.8763435786,62.6804577389,76.5361378706,88.4124351264,89.7320237104,83.7938750825,67.9588120748,63.3402520308,83.7938750825,98.9691437982,93.6907894623,84.4536693745,77.8557264546,71.9175778267,65.9794291988,65.1657722701,61.1837460378,70.8088556057,76.4105417385,91.6781833046,99.6830909046,105.2590082436,129.1660043844,108.1754137524,111.21358344,126.86416704,126.7859959319,125.2726689809,122.5119612672,100,93.8639837485,102.0299600012,109.0433866693,98.305010633,94.7425484751,165.0539355475,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Namibia,NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,94.403873909,78.0647418863,70.1977523938,73.8286706211,62.3307629014,45.9916308787,50.8328551817,58.6998446742,65.9616811287,71.4080584696,77.4595888484,65.3565280908,68.3822932802,62.3307629014,68.9874463181,68.9874463181,68.3822932802,68.9874463181,62.9359159393,59.9101507499,60.5153037878,59.6796475402,59.2202274569,61.2722793748,66.6588363696,71.6001658749,92.1527056368,103.7390671237,103.8676536116,95.671808648,104.6421359733,115.9077724622,113.9195682383,108.1403124294,108.8267045394,100,96.9526215883,103.0426685661,108.5112785639,106.7939247428,108.9137050921,131.5438110587,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.4157395931,39.3667856684,39.2899649543,42.4076550638,50.9161583933,54.2867803132,57.6711117774,69.4250031995,147.8585272772,100.0737126912,91.3605474513,123.1303495074,125.8155064999,108.1721843183,102.7214265622,100,84.1462494235,82.7285319645,88.4148428761,89.6254799873,84.4129910819,109.1263095605,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Nepal,NPL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.865458558,59.6248139508,59.0315837612,62.0540002863,66.827159524,70.736528112,78.635735051,84.9749978328,91.9683687478,87.4381423597,91.3482452288,105.7723959572,104.9863300381,102.3716739718,102.8967121989,100,96.4232539576,96.7911451351,96.7521502229,92.4472745211,107.9436912969,136.198541228,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,Netherlands,NLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.9096001695,64.1412975539,66.2850012867,77.4381328043,86.2762495244,89.0968749723,95.3929070961,106.5879633261,118.9008196334,104.0158074814,106.9268138819,123.4250426556,119.0936268725,121.509094217,121.091790683,100,96.8773362532,103.7910240774,112.9190374795,108.1206280824,105.8009936854,119.8423930718,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.3105578139,38.8962710334,39.8414666708,48.5496205226,66.4648540629,68.2729299585,88.4626247186,112.452850638,119.0394284952,116.7083306653,149.0373088375,166.0242480923,137.9524556905,123.6234497675,128.1882889237,100,90.0438799314,105.8219419994,120.9832740243,119.5670217289,115.251259252,158.5820535775,..
Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,New Zealand,NZL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.7596368984,62.2168188483,61.3503124171,68.6628108635,79.2662257129,85.3116345329,85.521346297,97.8100089575,111.8374473708,86.8472359027,106.809175983,125.8340191206,118.4914151486,124.2606912589,126.9549201539,100,95.6846474604,108.5687864112,110.7212875631,108.0128615481,107.5602810618,122.2824877837,..
